,product_id,product_subcategory_id,product_sku,product_name,model_name,product_description,product_colour,product_size,product_style,product_cost,product_price
17,277,14,FR-R72R-58,"ML Road Frame - Red, 58",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,,U,352.1394,594.83
18,304,12,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,,U,617.0281,1191.1739
19,431,14,FR-R72Y-42,"ML Road Frame-W - Yellow, 42",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,,W,300.1188,540.7545
20,595,1,BK-M18S-52,"Mountain-500 Silver, 52",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Silver,52,U,308.2179,564.99
21,420,17,RW-M762,ML Mountain Rear Wheel,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,Black,0,0,104.7951,236.025
22,447,34,LO-C100,Cable Lock,Cable Lock,"Wraps to fit front and rear tires, carrier and 2 keys included.",,0,0,,25.0
23,593,1,BK-M18S-44,"Mountain-500 Silver, 44",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Silver,44,U,308.2179,
24,485,30,FE-6654,Fender Set - Mountain,Fender Set - Mountain,Clip-on fenders fit most mountain bikes.,,0,0,8.2205,21.98
25,419,17,RW-M423,LL Mountain Rear Wheel,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,Black,,0,38.9588,87.745
26,507,16,FR-T67Y-50,"LL Touring Frame - Yellow, 50",LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,Yellow,50,U,199.8519,333.42
27,486,27,ST-1401,All-Purpose Bike Stand,All-Purpose Bike Stand,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.,,0,0,59.466,159.0
28,524,12,FR-M21S-42,"LL Mountain Frame - Silver, 42",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Silver,,U,144.5938,264.05
29,232,21,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,L,U,31.7244,48.0673
30,532,12,FR-M21B-44,"LL Mountain Frame - Black, 44",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,44,U,136.785,249.79
31,602,5,BB-8107,ML Bottom Bracket,ML Bottom Bracket,Aluminum alloy cups; large diameter spindle.,,0,0,,101.24
32,541,37,TI-T723,Touring Tire,Touring Tire,High-density rubber.,,,0,,28.99
33,588,1,BK-M38S-40,"Mountain-400-W Silver, 40",Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",Silver,40,W,419.7784,
34,557,8,CS-6583,ML Crankset,ML Crankset,High-strength crank arm.,Black,0,0,113.8816,256.49
35,489,21,SJ-0194-M,"Short-Sleeve Classic Jersey, M",Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",Yellow,M,U,41.5723,53.99
36,296,12,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,42,U,617.0281,1191.1739
37,405,4,HB-R720,ML Road Handlebars,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,,0,0,24.9932,56.2909
38,544,13,PD-M562,HL Mountain Pedal,HL Mountain Pedal,Stainless steel; designed to shed mud easily.,Silver/Black,0,0,35.9596,80.99
39,577,3,BK-T44U-46,"Touring-2000 Blue, 46",Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",Blue,46,U,755.1508,1214.85
40,338,2,BK-R50B-44,"Road-650 Black, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,,U,413.1463,699.0982
41,392,10,FK-5136,ML Fork,ML Fork,Composite road fork with an aluminum steerer tube.,,0,0,77.9176,175.49
42,582,2,BK-R79Y-44,"Road-350-W Yellow, 44",Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",Yellow,,W,1082.51,1700.99
43,594,1,BK-M18S-48,"Mountain-500 Silver, 48",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Silver,48,U,308.2179,564.99
44,320,2,BK-R50R-58,"Road-650 Red, 58",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,58,U,413.1463,699.0982
45,330,2,BK-R50R-52,"Road-650 Red, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,52,U,413.1463,699.0982
46,514,6,RB-9231,Rear Brakes,Rear Brakes,0,Silver,0,0,47.286,106.5
47,411,17,FW-M762,ML Mountain Front Wheel,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,Black,0,0,92.8071,209.025
48,513,12,FR-M63S-46,"ML Mountain Frame-W - Silver, 46",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Silver,46,W,,364.09
49,520,15,SE-R995,HL Road Seat/Saddle,HL Road Seat/Saddle 2,Lightweight kevlar racing saddle. Leather.,,0,0,23.3722,52.64
50,314,2,BK-R93R-56,"Road-150 Red, 56",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,,U,2171.2942,3578.27
51,506,16,FR-T67Y-44,"LL Touring Frame - Yellow, 44",LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,Yellow,44,U,199.8519,333.42
52,441,14,FR-R92B-48,"HL Road Frame - Black, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,,U,722.2568,1301.3636
53,597,1,BK-M18B-42,"Mountain-500 Black, 42",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Black,,U,294.5797,539.99
54,502,16,FR-T67U-50,"LL Touring Frame - Blue, 50",LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,Blue,50,U,199.8519,333.42
55,312,2,BK-R93R-48,"Road-150 Red, 48",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,48,U,2171.2942,3578.27
56,446,35,PA-T100,"Touring-Panniers, Large",Touring-Panniers,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",Grey,0,0,,125.0
57,419,17,RW-M423,LL Mountain Rear Wheel,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,Black,,0,38.9588,87.745
58,533,12,FR-M21B-48,"LL Mountain Frame - Black, 48",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,48,U,136.785,249.79
59,410,17,FW-M423,LL Mountain Front Wheel,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,Black,,0,26.9708,60.745
60,346,1,BK-M82S-44,"Mountain-100 Silver, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,44,U,1912.1544,
61,494,16,FR-T98Y-46,"HL Touring Frame - Yellow, 46",HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,Yellow,46,U,601.7437,1003.91
62,605,2,BK-R19B-48,"Road-750 Black, 48",Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,Black,48,U,343.6496,539.99
63,466,20,GL-H102-L,"Half-Finger Gloves, L",Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",Black,,U,9.7136,23.5481
64,449,36,PU-M044,Mountain Pump,Mountain Pump,Simple and light-weight. Emergency patches stored in handle.,,,0,10.3084,
65,519,15,SE-R908,ML Road Seat/Saddle,ML Road Seat/Saddle 2,Rubber bumpers absorb bumps.,,,0,17.3782,39.14
66,433,14,FR-R72Y-44,"ML Road Frame-W - Yellow, 44",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,44,W,300.1188,540.7545
67,458,24,TG-W091-L,"Women's Tights, L",Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,Black,L,W,30.9334,74.99
68,342,2,BK-R50B-52,"Road-650 Black, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,52,U,413.1463,699.0982
69,466,20,GL-H102-L,"Half-Finger Gloves, L",Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",Black,,U,9.7136,23.5481
70,328,2,BK-R50R-48,"Road-650 Red, 48",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,48,U,413.1463,
71,553,4,HB-T721,LL Touring Handlebars,LL Touring Handlebars,Unique shape reduces fatigue for entry level riders.,,0,0,20.464,46.09
72,529,37,TT-R982,Road Tire Tube,Road Tire Tube,Conventional all-purpose tube.,,0,0,1.4923,3.99
73,553,4,HB-T721,LL Touring Handlebars,LL Touring Handlebars,Unique shape reduces fatigue for entry level riders.,,0,0,20.464,46.09
74,553,4,HB-T721,LL Touring Handlebars,LL Touring Handlebars,Unique shape reduces fatigue for entry level riders.,,0,0,20.464,46.09
75,215,31,HL-U509,"Sport-100 Helmet, Black",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Black,,0,12.0278,33.6442
76,385,2,BK-R64Y-42,"Road-550-W Yellow, 42",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,,W,605.6492,1000.4375
77,391,10,FK-1639,LL Fork,LL Fork,Stout design absorbs shock and offers more precise steering.,,0,0,65.8097,148.22
78,533,12,FR-M21B-48,"LL Mountain Frame - Black, 48",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,48,U,136.785,249.79
79,538,37,TI-R092,LL Road Tire,LL Road Tire,Same great treads as more expensive tire with a less expensive wire bead casing.,,,0,,21.49
80,437,14,FR-R92B-62,"HL Road Frame - Black, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,62,U,722.2568,1301.3636
81,447,34,LO-C100,Cable Lock,Cable Lock,"Wraps to fit front and rear tires, carrier and 2 keys included.",,0,0,,25.0
82,592,1,BK-M18S-42,"Mountain-500 Silver, 42",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Silver,42,U,308.2179,564.99
83,346,1,BK-M82S-44,"Mountain-100 Silver, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,44,U,1912.1544,
84,555,6,FB-9873,Front Brakes,Front Brakes,All-weather brake pads; provides superior stopping by applying more surface to the rim.,Silver,0,0,47.286,106.5
85,311,2,BK-R93R-44,"Road-150 Red, 44",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,44,U,2171.2942,3578.27
86,584,2,BK-R19B-58,"Road-750 Black, 58",Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,Black,58,U,343.6496,
87,504,16,FR-T67U-58,"LL Touring Frame - Blue, 58",LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,Blue,58,U,199.8519,333.42
88,586,3,BK-T18U-50,"Touring-3000 Blue, 50",Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",Blue,,U,461.4448,742.35
89,293,12,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,46,U,623.8403,1204.3248
90,454,22,SH-M897-L,"Men's Sports Shorts, L",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Black,L,M,24.7459,59.99
91,603,5,BB-9108,HL Bottom Bracket,HL Bottom Bracket,Aluminum alloy cups and a hollow axle.,,0,0,53.9416,121.49
92,506,16,FR-T67Y-44,"LL Touring Frame - Yellow, 44",LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,Yellow,44,U,199.8519,333.42
93,275,14,FR-R72R-48,"ML Road Frame - Red, 48",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,48,U,352.1394,594.83
94,427,12,FR-M63B-44,"ML Mountain Frame - Black, 44",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,44,U,185.8193,
95,250,14,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,56,U,747.9682,1263.4598
96,446,35,PA-T100,"Touring-Panniers, Large",Touring-Panniers,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",Grey,0,0,,125.0
97,560,3,BK-T44U-60,"Touring-2000 Blue, 60",Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",Blue,60,U,755.1508,1214.85
98,504,16,FR-T67U-58,"LL Touring Frame - Blue, 58",LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,Blue,58,U,199.8519,333.42
99,548,13,PD-T852,Touring Pedal,Touring Pedal,A stable pedal for all-day riding.,Silver/Black,,0,35.9596,80.99
100,531,12,FR-M21B-42,"LL Mountain Frame - Black, 42",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,42,U,136.785,249.79
101,558,8,CS-9183,HL Crankset,HL Crankset,Triple crankset; alumunim crank arm; flawless shifting.,Black,0,0,179.8156,404.99
102,530,37,TT-T092,Touring Tire Tube,Touring Tire Tube,General purpose tube.,,0,0,1.8663,4.99
103,282,14,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,48,U,176.1997,297.6346
104,223,19,CA-1098,AWC Logo Cap,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Multi,0,U,5.7052,8.6442
105,447,34,LO-C100,Cable Lock,Cable Lock,"Wraps to fit front and rear tires, carrier and 2 keys included.",,0,0,,25.0
106,452,33,LT-H903,Headlights - Weatherproof,Headlights - Weatherproof,Rugged weatherproof headlight.,,0,0,,
107,437,14,FR-R92B-62,"HL Road Frame - Black, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,62,U,722.2568,1301.3636
108,513,12,FR-M63S-46,"ML Mountain Frame-W - Silver, 46",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Silver,46,W,,364.09
109,581,2,BK-R79Y-42,"Road-350-W Yellow, 42",Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",Yellow,,W,1082.51,1700.99
110,326,2,BK-R50R-44,"Road-650 Red, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,44,U,413.1463,699.0982
111,259,14,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,62,U,,297.6346
112,349,1,BK-M82B-42,"Mountain-100 Black, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,42,U,1898.0944,3374.99
113,244,14,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,48,U,747.9682,1263.4598
114,527,12,FR-M21S-52,"LL Mountain Frame - Silver, 52",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Silver,,U,144.5938,
115,550,12,FR-M21B-40,"LL Mountain Frame - Black, 40",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,40,U,136.785,249.79
116,579,3,BK-T44U-54,"Touring-2000 Blue, 54",Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",Blue,54,U,755.1508,1214.85
117,505,16,FR-T67U-62,"LL Touring Frame - Blue, 62",LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,Blue,62,U,,333.42
118,536,37,TI-M602,ML Mountain Tire,ML Mountain Tire,"Great traction, high-density rubber.",,0,0,11.2163,29.99
119,399,4,HB-M763,ML Mountain Handlebars,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,,,0,24.9932,56.2909
120,322,2,BK-R50R-60,"Road-650 Red, 60",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,60,U,413.1463,699.0982
121,385,2,BK-R64Y-42,"Road-550-W Yellow, 42",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,,W,605.6492,1000.4375
122,291,12,FR-M94S-44,"HL Mountain Frame - Silver, 44",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,44,U,,
123,354,1,BK-M68S-42,"Mountain-200 Silver, 42",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,42,U,1117.8559,2071.4196
124,464,20,GL-H102-M,"Half-Finger Gloves, M",Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",Black,M,U,9.7136,23.5481
125,285,14,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,52,U,176.1997,297.6346
126,315,2,BK-R68R-58,"Road-450 Red, 58",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,58,U,,1457.99
127,264,14,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,48,U,181.4857,306.5636
128,506,16,FR-T67Y-44,"LL Touring Frame - Yellow, 44",LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,Yellow,44,U,199.8519,333.42
129,460,18,SB-M891-M,"Men's Bib-Shorts, M",Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",Multi,,M,37.1209,89.99
130,509,16,FR-T67Y-58,"LL Touring Frame - Yellow, 58",LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,Yellow,58,U,199.8519,333.42
131,451,33,LT-H902,Headlights - Dual-Beam,Headlights - Dual-Beam,Rechargeable dual-beam headlight.,,,0,14.4334,34.99
132,594,1,BK-M18S-48,"Mountain-500 Silver, 48",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Silver,48,U,308.2179,564.99
133,552,9,FD-2342,Front Derailleur,Front Derailleur,Wide-link design.,Silver,0,0,40.6216,91.49
134,443,14,FR-R92B-52,"HL Road Frame - Black, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,,U,722.2568,1301.3636
135,450,33,LT-T990,Taillights - Battery-Powered,Taillight,Affordable light for safe night riding - uses 3 AAA batteries,,0,0,,13.99
136,537,37,TI-M823,HL Mountain Tire,HL Mountain Tire,"Incredible traction, lightweight carbon reinforced.",,0,0,13.09,35.0
137,313,2,BK-R93R-52,"Road-150 Red, 52",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,52,U,2171.2942,3578.27
138,528,37,TT-M928,Mountain Tire Tube,Mountain Tire Tube,Self-sealing tube.,,,0,1.8663,4.99
139,548,13,PD-T852,Touring Pedal,Touring Pedal,A stable pedal for all-day riding.,Silver/Black,,0,35.9596,80.99
140,423,17,RW-R762,ML Road Rear Wheel,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,Black,0,0,122.2709,275.385
141,458,24,TG-W091-L,"Women's Tights, L",Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,Black,L,W,30.9334,74.99
142,540,37,TI-R982,HL Road Tire,HL Road Tire,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.,,0,0,12.1924,32.6
143,547,13,PD-R853,HL Road Pedal,HL Road Pedal,Top-of-the-line clipless pedals with adjustable tension.,Silver/Black,0,0,35.9596,80.99
144,387,2,BK-R64Y-44,"Road-550-W Yellow, 44",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,44,W,,1000.4375
145,470,20,GL-F110-L,"Full-Finger Gloves, L",Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",Black,L,U,15.6709,37.99
146,365,1,BK-M47B-40,"Mountain-300 Black, 40",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,40,U,598.4354,1079.99
147,475,22,SH-W890-M,"Women's Mountain Shorts, M",Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Black,M,W,26.1763,69.99
148,584,2,BK-R19B-58,"Road-750 Black, 58",Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,Black,58,U,343.6496,
149,570,3,BK-T18Y-54,"Touring-3000 Yellow, 54",Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",Yellow,54,U,461.4448,742.35
150,542,13,PD-M282,LL Mountain Pedal,LL Mountain Pedal,Expanded platform so you can ride in any shoes; great for all-around riding.,Silver/Black,0,0,17.9776,40.49
